OID_;World Port Index Number;Region Name;Main Port Name;Alternate Port Name;UN/LOCODE;Country Code;World Water Body;IHO S-130 Sea Area;Sailing Direction or Publication;Publication Link;Standard Nautical Chart;IHO S-57 Electronic Navigational Chart;IHO S-101 Electronic Navigational Chart;Digital Nautical Chart;Tidal Range (m);Entrance Width (m);Channel Depth (m);Anchorage Depth (m);Cargo Pier Depth (m);Oil Terminal Depth (m);Liquified Natural Gas Terminal Depth (m);Maximum Vessel Length (m);Maximum Vessel Beam (m);Maximum Vessel Draft (m);Offshore Maximum Vessel Length (m);Offshore Maximum Vessel Beam (m);Offshore Maximum Vessel Draft (m);Harbor Size;Harbor Type;Harbor Use;Shelter Afforded;Entrance Restriction - Tide;Entrance Restriction - Heavy Swell;Entrance Restriction - Ice;Entrance Restriction - Other;Overhead Limits;Underkeel Clearance Management System;Good Holding Ground;Turning Area;Port Security;Estimated Time of Arrival Message;Quarantine - Pratique;Quarantine - Sanitation;Quarantine - Other;Traffic Separation Scheme;Vessel Traffic Service;First Port of Entry;US Representative;Pilotage - Compulsory;Pilotage - Available;Pilotage - Local Assistance;Pilotage - Advisable;Tugs - Salvage;Tugs - Assistance;Communications - Telephone;Communications - Telefax;Communications - Radio;Communications - Radiotelephone;Communications - Airport;Communications - Rail;Search and Rescue;NAVAREA;Facilities - Wharves;Facilities - Anchorage;Facilities - Dangerous Cargo Anchorage;Facilities - Med Mooring;Facilities - Beach Mooring;Facilities - Ice Mooring;Facilities - Ro-Ro;Facilities - Solid Bulk;Facilities - Liquid Bulk;Facilities - Container;Facilities - Breakbulk;Facilities - Oil Terminal;Facilities - LNG Terminal;Facilities - Other;Medical Facilities;Garbage Disposal;Chemical Holding Tank Disposal;Degaussing;Dirty Ballast Disposal;Cranes - Fixed;Cranes - Mobile;Cranes - Floating;Cranes Container;Lifts - 100+ Tons;Lifts - 50-100 Tons;Lifts - 25-49 Tons;Lifts - 0-24 Tons;Services - Longshoremen;Services - Electricity;Services -Steam;Services - Navigation Equipment;Services - Electrical Repair;Services - Ice Breaking;Services -Diving;Supplies - Provisions;Supplies - Potable Water;Supplies - Fuel Oil;Supplies - Diesel Oil;Supplies - Aviation Fuel;Supplies - Deck;Supplies - Engine;Repairs;Dry Dock;Railway;Latitude;Longitude;Position
4.0;44804.0;Turkey Asia -- 44360;Delta Terminal; ;;Turkey;"Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;54481.0; ; ;a1044880, coa10d, gen10b;0.0;0.0;0.0;23.2;0.0;6.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Open Roadstead;Unknown;Poor;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;No;Yes;Yes;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;III;Yes;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Yes;Yes;Unknown;Unknown;Yes;Unknown;Yes;Yes;Unknown;Unknown;Yes;Moderate;Unknown;Unknown;36.85;36.166667;36.850000,36.166667,0.000001
16.0;42415.0;Greece East Coast -- 42010;Larimna;Larmes;;Greece;"Aegean Sea; Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;54282.0; ; ;a0942415, coa09d, gen09, h0942415;2.0;0.0;11.0;9.4;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Coastal (Natural);Unknown;Good;No;No;No;Yes;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;III;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;38.566667;23.283333;38.566667,23.283333,0.000001
17.0;38420.0;Spain SE Coast -- 38340;Hornillo; ;;Spain;"Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 131 (Enroute) - Western Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view;52060.0; ; ;a0838430, coa08o, gen08b;1.0;0.0;14.0;23.2;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Coastal (Natural);Unknown;Fair;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Unknown;Yes;Unknown;Unknown;III;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;37.4;-1.55;37.400000,-1.550000,0.000001
18.0;40245.0;Italy -- 39125;Melilli Oil Terminal; ;;Italy;"Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 131 (Enroute) - Western Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view;53212.0; ; ;a0940250, coa09b, gen09;1.0;0.0;21.6;23.2;0.0;17.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Open Roadstead;Unknown;Fair;No;No;No;Yes;No;Unknown;Yes;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;No;Yes;Yes;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;III;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Limited;Unknown;Small;37.116667;15.25;37.116667,15.250000,0.000001
33.0;44807.0;Italy -- 40345;Aksaz Limani; ;;Turkey;"Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;54425.0; ; ;a1044805, coa10c, gen10b, h1044808;0.0;0.0;23.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Small;Coastal (Natural);Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;No;Unknown;III;Yes;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;Unknown;Unknown;Limited;Small;Unknown;36.833333;28.383333;36.833333,28.383333,0.000001
36.0;42180.0;Greece East Coast -- 42010;Ayios Nikolaos;Arapis;;Greece;"Aegean Sea; Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;54339.0; ; ;a0942050, coa09d, gen09, h0942230;0.0;0.0;9.4;12.5;7.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Coastal (Breakwater);Unknown;Fair;No;No;No;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;III;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Major;Small;Unknown;37.983333;23.533333;37.983333,23.533333,0.000001
37.0;43384.0;Turkey Europe -- 43325;Borusan Fertilizer Jetty; ;;Turkey;"Sea of Marmara; Mediterranean Sea; North Atlantic Ocean"; ;Admiralty Sailing Directions - NP24 - Black Sea and Sea of Azov Pilot (United Kingdom Hydrographic Office);https://msi.geo.nga.mil/Publications/SDEnroute;55043.0; ; ;a1043410, coa10c, gen10b;0.0;0.0;0.0;23.2;6.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Coastal (Natural);Unknown;Fair;Unknown;Unknown;Unknown;Yes;No;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;III;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;Unknown;Unknown;Limited;Unknown;Unknown;40.416667;29.1;40.416667,29.100000,0.000001
40.0;11360.0;St Martin -- 11355;Baie Du Marigot; ;;France;"Caribbean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 147 (Enroute) - Caribbean Sea - Volume I;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub147bk.pdf&type=view;25608.0; ; ;a1611370, coa16b, gen16, h1611370;2.0;0.0;6.4;6.4;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Open Roadstead;Unknown;Good;No;No;No;Yes;No;Unknown;Yes;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Yes;Unknown;Unknown;IV;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;18.066667;-63.083333;18.066667,-63.083333,0.000001
59.0;42790.0;Aegean Islands -- 42640;Vrakhonisis Kallonis;Kalloni;;Greece;"Aegean Sea; Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;54380.0; ; ;a0942760, coa09d, gen09;2.0;0.0;17.1;6.4;1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Coastal (Natural);Unknown;Good;No;No;No;Yes;Unknown;Unknown;Yes;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;No;No;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;III;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;39.083333;26.083333;39.083333,26.083333,0.000001
62.0;35835.0;France NW Coast -- 35720;Port Du Havre-Antifer; ;;France;"English Channel; North Atlantic Ocean"; ;Sailing Directions Pub. 191 (Enroute) - English Channel;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub191bk.pdf&type=view;37261.0; ; ;a2035840, coa20c, gen20b;7.0;0.0;23.2;23.2;0.0;23.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Small;Coastal (Breakwater);Unknown;Fair;Yes;Yes;Unknown;Yes;No;Unknown;Yes;Yes;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;Unknown;Yes;Yes;Yes;Yes;Yes;Unknown;Yes;Unknown;Unknown;I;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;49.65;0.15;49.650000,0.150000,0.000001
64.0;40750.0;Italy East Coast -- 40390;Porto Di Malamocco; ;;Italy;"Adriatic Sea; Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 131 (Enroute) - Western Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view;54161.0; ; ;a0940760, coa09c, gen09, h0940750;1.0;0.0;11.0;11.0;7.9;12.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Canal or Lake;Unknown;Good;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Yes;Yes;Yes;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;III;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Yes;Yes;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;45.333333;12.316667;45.333333,12.316667,0.000001
71.0;42440.0;Greece East Coast -- 42010;Stilis; ;;Greece;"Aegean Sea; Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;54349.0; ; ;a0942415, coa09d, gen09;0.0;0.0;3.4;14.0;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Coastal (Natural);Unknown;Fair;No;No;No;Yes;No;Unknown;Yes;Yes;Unknown;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Yes;No;Yes;Yes;Unknown;Unknown;No;No;Unknown;Yes;Yes;Yes;Unknown;Yes;Unknown;III;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;No;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;No;No;Unknown;Unknown;Unknown;Limited;Unknown;Small;38.916667;22.616667;38.916667,22.616667,0.000001
90.0;41820.0;Greece West Coast -- 41710;Itea;Salona;GRITA;Greece;"Ionian Sea; Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;54288.0; ; ;coa09d, gen09, h0941820;0.0;0.0;9.4;17.1;6.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Open Roadstead;Unknown;Poor;No;No;No;No;Yes;Unknown;Yes;Yes;Unknown;Yes;Yes;Unknown;Yes;Unknown;Unknown;Yes;No;Yes;Unknown;Unknown;Unknown;No;No;No;Unknown;Yes;Yes;Unknown;Unknown;Unknown;III;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;No;Yes;No;No;Unknown;No;No;;Unknown;Unknown;38.433333;22.416667;38.433333,22.416667,0.000001
91.0;41550.0;Croatia -- 40877;Dubrovnik;Ragusa;HRDBV;Croatia;"Adriatic Sea; Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;54222.0; ; ;a0941320, coa09c, gen09, h0941540;1.0;0.0;23.2;23.2;3.4;3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Small;Coastal (Natural);Unknown;Fair;No;Yes;No;Yes;Unknown;Unknown;No;No;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Yes;No;Yes;Yes;Unknown;Yes;No;No;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;III;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;No;No;Limited;Unknown;Small;42.666667;18.083333;42.666667,18.083333,0.000001
92.0;39590.0;Italy West Coast -- 39330;Livorno;Leghorn;ITLIV;Italy;"Ligurian Sea; Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 131 (Enroute) - Western Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view;53107.0; ; ;a0839590, coa08k, gen08a, h0839590;1.0;0.0;12.5;7.9;4.9;7.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Large;Coastal (Breakwater);Unknown;Good;No;Yes;No;Yes;No;Unknown;Unknown;Yes;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Yes;No;Yes;Unknown;Unknown;Yes;No;Yes;Yes;Unknown;Yes;Unknown;Yes;Yes;Unknown;III;Yes;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Unknown;Yes;Yes;Yes;Unknown;Yes;Yes;Unknown;Unknown;Yes;Yes;Yes;Yes;Yes;Unknown;Unknown;Unknown;Yes;Yes;Yes;Unknown;Yes;Yes;Major;Large;Medium;43.542;10.29;43.542000,10.290000,0.000001
93.0;39025.0;Monaco -- 39020;Monaco; ;MCMON;Monaco;"Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 131 (Enroute) - Western Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view;53093.0; ; ;a0838960, coa08k, gen08a, h0839025;0.0;0.0;7.9;23.2;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Coastal (Breakwater);Unknown;Good;No;No;No;Yes;Yes;Unknown;Yes;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;Yes;Unknown;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;Unknown;III;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;No;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Yes;Unknown;Yes;Yes;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;No;Yes;Emergency Only;Unknown;Unknown;43.733333;7.416667;43.733333,7.416667,0.000001
94.0;37770.0;Spain N Coast -- 37270;La Coruna; ;ESLCG;Spain;North Atlantic Ocean; ;Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub143bk.pdf&type=view;37506.0; ; ;a0837770, coa08c, gen08b, h0837770;4.0;0.0;17.1;12.5;15.5;15.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Small;Coastal (Natural);Unknown;Excellent;No;Yes;No;Yes;No;Unknown;Unknown;Yes;Unknown;Yes;Unknown;Yes;Yes;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;Yes;Unknown;Yes;Unknown;Unknown;Yes;Unknown;Yes;Yes;Unknown;II;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Yes;Unknown;Yes;Yes;Limited;Small;Large;43.366667;-8.4;43.366667,-8.400000,0.000001
95.0;37120.0;France West Coast -- 36450;Le Verdon; ;FRLVE;France;"Bay of Biscay; North Atlantic Ocean"; ;Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub143bk.pdf&type=view;37403.0; ; ;a0837190, coa08b, gen08b, h0837120;10.0;0.0;12.5;9.4;15.5;15.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Small;River (Natural);Unknown;Fair;No;No;No;Yes;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Unknown;II;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;No;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Yes;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;Yes;Yes;Emergency Only;Small;Unknown;45.55;-1.05;45.550000,-1.050000,0.000001
96.0;42345.0;Greece East Coast -- 42010;Astakos; ;GRAST;Greece;"Ionian Sea; Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;54285.0; ; ;coa09d, gen09, h0941747;0.0;0.0;0.0;17.1;3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Small;Coastal (Natural);Unknown;Fair;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;No;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Unknown;III;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Yes;Yes;Unknown;Unknown;Unknown;;Unknown;Unknown;38.483333;21.1;38.483333,21.100000,0.000001
97.0;41800.0;Greece West Coast -- 41710;Mesolongion; ;GRMEL;Greece;"Ionian Sea; Mediterranean Sea; North Atlantic Ocean"; ;Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean;https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view;54287.0; ; ;a0941850, coa09d, gen09;0.0;0.0;4.9;23.2;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Very Small;Coastal (Breakwater);Unknown;Poor;No;No;No;Yes;No;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Unknown;Yes;Unknown;Unknown;Yes;No;Unknown;Yes;Yes;Yes;No;Yes;Unknown;Unknown;Yes;Yes;Unknown;Yes;Unknown;III;Yes;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;No;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Yes;Yes;Yes;Unknown;Unknown;Unknown;Limited;Unknown;Unknown;38.366667;21.416667;38.366667,21.416667,0.000001
